TXN0001,CUST2824,Allison Hill,19,Phoenix,20-06-2024,,Debit Card
TXN0002,CUST2679,Brian Yang,61,Seattle,23-10-2024,96.07,UPI
TXN0003,CUST1520,Javier Johnson,19,Los Angeles,18-06-2024,226.45,Net Banking
TXN0004,CUST1434,Lance Hoffman,53,Houston,29-12-2024,718.86,Cash
TXN0005,CUST9928,Kimberly Robinson,44,Houston,09-11-2024,454.72,PayPal
TXN0006,CUST1106,Sean Blake,66,Chicago,27-05-2024,701.16,PayPal
TXN0007,CUST5552,Gina Moore,27,Houston,16-01-2025,957.64,PayPal
TXN0008,CUST2674,Brandon Davis,23,Miami,18-02-2025,105.75,PayPal
TXN0009,CUST5333,Dennis Williams,69,New York,20-09-2024,732.43,Net Banking
TXN0010,CUST3045,Valerie Gray,42,Los Angeles,26-10-2024,556.52,Cash
TXN0011,CUST6925,Mark Mcclure,54,Houston,13-08-2024,,Credit Card
TXN0012,CUST4733,Michele Williams,67,Phoenix,22-06-2024,985.37,Debit Card
TXN0013,CUST2654,Victoria Wyatt,42,Phoenix,25-02-2025,458.88,PayPal
TXN0014,CUST3664,Donald Reid,41,San Francisco,14-08-2024,217.41,PayPal
TXN0015,CUST2169,Henry Santiago,56,Chicago,23-12-2024,538.8,Debit Card
TXN0016,CUST3677,Maria Lynch,47,Miami,31-05-2024,277.25,Cash
TXN0017,CUST4598,Danielle Ford,61,San Francisco,08-07-2024,844.42,Credit Card
TXN0018,CUST4752,Margaret Hawkins DDS,70,New York,16-02-2025,807.0,UPI
TXN0019,CUST5386,Amy Underwood,22,Houston,01-02-2025,914.0,Net Banking
TXN0020,CUST6155,Derek Clark,31,Dallas,01-11-2024,401.68,Cash
TXN0021,CUST8517,Emily Rios,27,Phoenix,26-08-2024,,Cash
TXN0022,CUST9830,Maria Thomas,34,Boston,19-05-2024,434.15,Net Banking
TXN0023,CUST7543,Justin Baker,41,Houston,08-11-2024,997.35,Debit Card
TXN0024,CUST9348,Kevin Cox,49,Los Angeles,18-05-2024,758.22,Credit Card
TXN0025,CUST3504,Ann Williams,58,Chicago,07-05-2024,794.16,UPI
TXN0026,CUST2040,Christopher Becker,42,Miami,12-11-2024,599.93,UPI
TXN0027,CUST9669,James Ferrell,34,Seattle,17-10-2024,862.17,Credit Card
TXN0028,CUST2876,Juan Dunlap,61,Seattle,15-12-2024,753.37,Cash
TXN0029,CUST6573,Melanie Herrera,25,Phoenix,07-07-2024,440.42,UPI
TXN0030,CUST1053,Gina Carter,64,Phoenix,26-05-2024,972.17,Debit Card
TXN0031,CUST9317,Troy Liu,24,Phoenix,06-07-2024,,Net Banking
TXN0032,CUST4258,Pamela Romero,27,San Francisco,06-05-2024,764.89,Net Banking
TXN0033,CUST9689,Elizabeth Fowler,18,Boston,17-11-2024,330.91,Credit Card
TXN0034,CUST2832,James Martin,41,Phoenix,22-01-2025,247.06,Debit Card
TXN0035,CUST2290,Tamara George,23,Dallas,01-10-2024,817.86,Net Banking
TXN0036,CUST3060,Timothy Koch,26,Dallas,11-02-2025,947.38,Debit Card
TXN0037,CUST5342,Cynthia Allen,51,Boston,01-11-2024,428.91,Debit Card
TXN0038,CUST9835,Angelica Tucker,66,Houston,21-04-2024,715.82,UPI
TXN0039,CUST7118,Kim Martinez,46,Seattle,07-12-2024,456.97,Debit Card
